name,sy_snum,sy_pnum,disc_method,disc_year,soltype,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,st_rad,st_mass,sy_dist
17 Sco b,1,1,Radial Velocity,2020,Published Confirmed,578.38,1.45,,,0.06,25.92,1.22,124.953
18 Del b,2,1,Radial Velocity,2008,Published Confirmed,,2.54,,,,,2.1,76.222
18 Del b,2,1,Radial Velocity,2008,Published Confirmed,993.3,2.6,,,0.08,8.5,2.3,76.222
1RXS J160929.1-210524 b,1,1,Imaging,2008,Published Confirmed,,330,,4000,,,0.85,139.135
1RXS J160929.1-210524 b,1,1,Imaging,2008,Published Confirmed,,330,,3000,,,0.85,139.135
1RXS J160929.1-210524 b,1,1,Imaging,2008,Published Confirmed,,330,,3000,,1.31,0.62,139.135
1RXS J160929.1-210524 b,1,1,Imaging,2008,Published Confirmed,,330,18.647,2543,,1.35,0.85,139.135
24 Boo b,1,1,Radial Velocity,2018,Published Confirmed,30.3506,0.19,,,0.042,10.64,0.99,95.9863
24 Sex b,1,2,Radial Velocity,2010,Published Confirmed,452.8,1.333,,,0.09,4.9,1.54,72.0691
24 Sex c,1,2,Radial Velocity,2010,Published Confirmed,883,2.08,,,0.29,4.9,1.54,72.0691
2M0437 b,1,1,Imaging,2021,Published Confirmed,,118,,1271.31363,,0.84,0.17,128.484
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,Published Confirmed,,84,,4131.79,,,0.19,
2MASS J01225093-2439505 b,1,1,Imaging,2013,Published Confirmed,,,11.209,,,0.37,0.35,33.8281
2MASS J01225093-2439505 b,1,1,Imaging,2013,Published Confirmed,,52,,7786.5,,,0.4,33.8281
2MASS J02192210-3925225 b,1,1,Imaging,2015,Published Confirmed,,156,16.141,4417.837,,0.28,0.11,
2MASS J04414489+2301513 b,1,1,Imaging,2010,Published Confirmed,,15,,2383.6,,,0.02,
2MASS J12073346-3932539 b,1,1,Imaging,2004,Published Confirmed,,46,,1271,,0.22,0.19,64.308
2MASS J12073346-3932539 b,1,1,Imaging,2004,Published Confirmed,,55,,1589.15,,,0.02,64.308
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,Published Confirmed,406,,,,0.33,0.2,0.48,396.332
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,Published Confirmed,416,0.92,,603.877,,,0.48,396.332
2MASS J21402931+1625183 A b,1,1,Imaging,2009,Published Confirmed,7336.5,,10.31,6657.48,0.26,0.12,0.08,
2MASS J22362452+4751425 b,1,1,Imaging,2016,Published Confirmed,,230,,3972.875,,,0.6,69.5737
30 Ari B b,4,1,Radial Velocity,2009,Published Confirmed,345.4,1.01,,,0.18,1.13,1.16,44.657
30 Ari B b,4,1,Radial Velocity,2009,Published Confirmed,335.1,0.995,,,0.289,1.13,1.16,44.657
30 Ari B b,4,1,Radial Velocity,2009,Published Confirmed,335.10001,0.99,,,0.29,1.41,1.93,44.657
4 UMa b,1,1,Radial Velocity,2006,Published Confirmed,269.3,0.87,,,0.432,18.11,1.23,73.4603
42 Dra b,2,1,Radial Velocity,2008,Published Confirmed,479.1,1.19,,,0.38,22.03,0.98,90.6545
47 UMa b,1,3,Radial Velocity,1996,Published Confirmed,1083.2,2.11,,,0.049,,,13.7967
47 UMa b,1,3,Radial Velocity,1996,Published Confirmed,1100.8,2.11,,,0.097,,,13.7967
47 UMa b,1,3,Radial Velocity,1996,Published Confirmed,1078,2.1,,,0.032,1.21,1.06,13.7967
47 UMa b,1,3,Radial Velocity,1996,Published Confirmed,1076.6,2.059,,,0.016,1.14,1.01,13.7967
47 UMa b,1,3,Radial Velocity,1996,Published Confirmed,1076.6,2.1,,,0.012,,1.06,13.7967
47 UMa c,1,3,Radial Velocity,2001,Published Confirmed,7586,7.73,,,0.005,,,13.7967
47 UMa c,1,3,Radial Velocity,2001,Published Confirmed,2287,3.404,,,0.179,1.14,1.01,13.7967
47 UMa c,1,3,Radial Velocity,2001,Published Confirmed,2391,3.6,,,0.098,1.21,1.06,13.7967
47 UMa d,1,3,Radial Velocity,2009,Published Confirmed,14002,11.6,,,0.16,1.21,1.06,13.7967
47 UMa d,1,3,Radial Velocity,2009,Published Confirmed,19000,13.8,,,0.38,1.14,1.01,13.7967
51 Eri b,3,1,Imaging,2015,Published Confirmed,14965,14,,,0.21,1.49,1.65,29.7575
51 Eri b,3,1,Imaging,2015,Published Confirmed,,13.2,,635.66,,,1.75,29.7575
51 Eri b,3,1,Imaging,2015,Published Confirmed,11688,12,,,0.45,1.49,1.65,29.7575
51 Peg b,1,1,Radial Velocity,1995,Published Confirmed,4.230785,0.0527,,,0.013,1.18,1.03,15.4614
51 Peg b,1,1,Radial Velocity,1995,Published Confirmed,4.23077,0.052,,,0,,,15.4614
51 Peg b,1,1,Radial Velocity,1995,Published Confirmed,4.2293,,,,0,1.29,,15.4614
51 Peg b,1,1,Radial Velocity,1995,Published Confirmed,4.2307969,0.05235,,,0.0042,1.19,1.07,15.4614
51 Peg b,1,1,Radial Velocity,1995,Published Confirmed,4.231,0.052,,146.2018,0,,1.04,15.4614
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.65126,0.1138,,,0.0159,0.96,0.9,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.648,0.11,,,0.051,,0.85,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.6,0.113,,254.25,0,,,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.65162,0.115,,,0.014,0.96,0.9,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.651,0.1134,,,0.004,0.96,0.9,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.647,0.115,,,0.03,,,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.465314,0.11339,,266.966,0.0023,0.96,0.9,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.65152,0.115227,,263.9785,0.0034,,0.95,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.653,0.115,,,0.02,,0.95,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.65171,0.1162,,,0.0048,0.96,0.97,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.67,0.115,,,0.0197,,0.95,12.5855
55 Cnc b,2,5,Radial Velocity,1996,Published Confirmed,14.6516,0.1134,,,0,0.94,0.91,12.5855
55 Cnc c,2,5,Radial Velocity,2004,Published Confirmed,44.3446,0.24,,,0.086,0.96,0.9,12.5855
55 Cnc c,2,5,Radial Velocity,2004,Published Confirmed,44.3827,0.2432,,,0.048,0.96,0.97,12.5855
55 Cnc c,2,5,Radial Velocity,2004,Published Confirmed,44.3989,0.2373,,,0.03,0.94,0.91,12.5855
55 Cnc c,2,5,Radial Velocity,2004,Published Confirmed,44.3787,0.238,,,0.053,0.96,0.9,12.5855
55 Cnc c,2,5,Radial Velocity,2004,Published Confirmed,44.38,0.237,,,0.07,0.96,0.9,12.5855
55 Cnc c,2,5,Radial Velocity,2004,Published Confirmed,44.373,0.23735,,56.6985,0.072,0.96,0.9,12.5855
55 Cnc c,2,5,Radial Velocity,2004,Published Confirmed,43.93,0.24,,,0.44,,0.95,12.5855
55 Cnc c,2,5,Radial Velocity,2004,Published Confirmed,44.4175,0.241376,,54.4738,0.02,,0.95,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,4867,5.446,,1226.77,0.0269,0.96,0.9,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,5218,5.77,,,0.025,0.96,0.9,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,4820,5.54,,,0.139,0.96,0.97,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,4517.4,5.257,,,0.327,,0.95,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,5370,5.84,,,0.063,0.96,0.9,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,5360,5.9,,,0.16,,0.95,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,4909,5.47,,,0.02,0.96,0.9,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,4545,5.28,,,0.24,,,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,5574.2,5.957,,,0.13,0.94,0.91,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Published Confirmed,4825,5.503,,1232.493,0.019,,0.95,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.7365515,0.015691,,8.13928,0.04,,0.95,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,,,,,,0.96,0.9,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.73654,0.01583,2,8.63,,0.94,0.96,12.5855
55 Cnc e,2,5,Radial Velocity,2004,TESS Project Candidate,0.73654582,,1.915,,,0.96,,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.7365417,,,,,,,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.736539,0.01544,1.91,8.08,,0.96,0.9,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.7365437,0.01544,2.08,7.81,0.061,0.94,0.91,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.737,,1.897,7.74,,0.95,0.87,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,2.808,0.038,,,0.174,,0.95,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,2.79674,0.0377,,,0.264,0.96,0.9,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.736546,0.01583,2.173,8.37,0,0.96,0.9,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,,0.01544,1.92,8.08,,0.96,0.9,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.7365478,0.015439,,8.09479,0.028,0.96,0.9,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.7365445,0.01583,,,0.036,0.96,0.97,12.5855
55 Cnc e,2,5,Radial Velocity,2004,Published Confirmed,0.7365474,0.01544,1.875,7.99,0.05,0.94,0.91,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Published Confirmed,260.7,0.775,,,0,0.96,0.9,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Published Confirmed,262,0.788,,44.812,0.305,,0.95,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Published Confirmed,260.98,0.792,,,0.142,0.96,0.97,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Published Confirmed,260,0.781,,,0.2,0.96,0.9,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Published Confirmed,260.91,0.7733,,47.0051,0.08,0.96,0.9,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Published Confirmed,259.88,0.7708,,,0.08,0.94,0.91,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Published Confirmed,261.2,0.77,,,0.32,0.96,0.9,12.5855
6 Lyn b,1,1,Radial Velocity,2008,Published Confirmed,934.3,2.11,,,0.073,5.2,1.44,54.6599
6 Lyn b,1,1,Radial Velocity,2008,Published Confirmed,874.774,2.18,,,0.125,5.2,1.82,54.6599
6 Lyn b,1,1,Radial Velocity,2008,Published Confirmed,899,2.2,,,0.134,5.2,1.7,54.6599
61 Vir b,1,3,Radial Velocity,2009,Published Confirmed,4.21487,0.04956,,,0.099,1.03,0.91,8.50332
61 Vir b,1,3,Radial Velocity,2009,Published Confirmed,4.215,0.050201,,,0.12,0.96,0.94,8.50332
61 Vir c,1,3,Radial Velocity,2009,Published Confirmed,38.021,0.2175,,,0.14,0.96,0.94,8.50332
61 Vir c,1,3,Radial Velocity,2009,Published Confirmed,38.0957,0.2151,,,0.068,1.03,0.91,8.50332
61 Vir d,1,3,Radial Velocity,2009,Published Confirmed,123.01,0.476,,,0.35,0.96,0.94,8.50332
7 CMa b,1,2,Radial Velocity,2011,Published Confirmed,796,1.93,,,0.22,4.91,,19.8101
7 CMa b,1,2,Radial Velocity,2011,Published Confirmed,735.1,1.758,,,0.06,4.87,1.34,19.8101
7 CMa b,1,2,Radial Velocity,2011,Published Confirmed,763,1.9,,,0.14,2.3,1.52,19.8101
7 CMa c,1,2,Radial Velocity,2019,Published Confirmed,996,2.153,,,0.08,4.87,1.34,19.8101
70 Vir b,1,1,Radial Velocity,1996,Published Confirmed,116.688,0.481,,,0.3988,1.89,1.09,17.9011
70 Vir b,1,1,Radial Velocity,1996,Published Confirmed,116.6884,0.48,,,0.4,1.84,1.14,17.9011
70 Vir b,1,1,Radial Velocity,1996,Published Confirmed,116.6926,0.481,,,0.399,1.94,1.09,17.9011
70 Vir b,1,1,Radial Velocity,1996,Published Confirmed,116.689,0.456,,,0.397,,,17.9011
70 Vir b,1,1,Radial Velocity,1996,Published Confirmed,116.6884,0.484,,2380.45,0.4007,,1.11,17.9011
70 Vir b,1,1,Radial Velocity,1996,Published Confirmed,116.69335,0.4765,,,0.3989,1.92,1.06,17.9011
75 Cet b,2,1,Radial Velocity,2012,Published Confirmed,691.9,2.1,,,0.117,10.5,2.49,82.9613
8 UMi b,1,1,Radial Velocity,2015,Published Confirmed,93.4,0.49,,,0.06,9.9,1.8,162.552
8 UMi b,1,1,Radial Velocity,2015,Published Confirmed,93.4,0.49,,,0.06,10.3,1.44,162.552
81 Cet b,1,1,Radial Velocity,2008,Published Confirmed,,2.17,,,,,1.6,101.26
81 Cet b,1,1,Radial Velocity,2008,Published Confirmed,952.7,2.5,,,0.206,11,2.4,101.26
91 Aqr b,3,1,Radial Velocity,2013,Published Confirmed,181.4,0.7,,,0.027,11,1.4,44.0304
AB Aur b,1,1,Imaging,2022,Published Confirmed,,93.9,,2860.45566,0.4,,2.4,162.127
AB Pic b,1,1,Imaging,2005,Published Confirmed,,260,,4290.5,,,,50.0475
AU Mic b,1,2,Transit,2020,Published Confirmed,8.463,,,11.7,0.04,0.75,0.5,9.7221
AU Mic b,1,2,Transit,2020,TESS Project Candidate,,,4.027,,,0.7,,9.7221
AU Mic b,1,2,Transit,2020,Published Confirmed,8.463,0.0645,4.07,17,0,0.75,0.5,9.7221
AU Mic b,1,2,Transit,2020,Published Confirmed,8.46321,,,17.1,,0.75,0.5,9.7221
AU Mic b,1,2,Transit,2020,Published Confirmed,8.4629991,0.0645,,20.12,0.186,,0.5,9.7221
AU Mic b,1,2,Transit,2020,Published Confirmed,8.46321,0.066,4.203,,0.1,0.75,0.5,9.7221
AU Mic b,1,2,Transit,2020,Published Confirmed,8.4630004,0.0644,4.19,,0.12,0.75,,9.7221
AU Mic c,1,2,Transit,2021,Published Confirmed,18.859019,,,22.2,0.041,0.75,0.5,9.7221
AU Mic c,1,2,Transit,2021,Published Confirmed,18.858982,0.11,2.79,,0.13,0.75,,9.7221
AU Mic c,1,2,Transit,2021,Published Confirmed,18.858991,0.1101,,9.6,,,0.5,9.7221
AU Mic c,1,2,Transit,2021,Published Confirmed,18.859019,0.1101,3.24,13.6,0,0.75,0.5,9.7221
BD+03 2562 b,1,1,Radial Velocity,2017,Published Confirmed,481.9,1.3,,,0.2,32.35,1.14,1070.63
BD+14 4559 b,1,1,Radial Velocity,2009,Published Confirmed,268.94,0.78,,,0.29,0.86,0.49,49.352
BD+14 4559 b,1,1,Radial Velocity,2009,Published Confirmed,268.94,0.777,,,0.29,0.95,0.86,49.352
BD+15 2375 b,1,1,Radial Velocity,2016,Published Confirmed,153.22,0.576,,,0.001,8.95,1.08,768.045
BD+15 2940 b,1,1,Radial Velocity,2013,Published Confirmed,137.48,0.539,,,0.26,14.7,1.1,426.42
BD+20 2457 b,1,2,Radial Velocity,2009,Published Confirmed,379.63,1.05,,,0.15,71.02,10.83,1539.71
BD+20 2457 b,1,2,Radial Velocity,2009,Published Confirmed,379.63,1.45,,,0.15,49,2.8,1539.71
BD+20 2457 c,1,2,Radial Velocity,2009,Published Confirmed,621.99,2.01,,,0.18,49,2.8,1539.71
BD+20 274 b,1,1,Radial Velocity,2012,Published Confirmed,578.2,1.3,,,0.21,17.3,0.8,1322.51
BD+20 594 b,1,1,Transit,2016,Published Confirmed,41.6855,0.241,2.23,16.3,0,0.93,0.96,179.461
BD+20 594 b,1,1,Transit,2016,Published Confirmed,41.688644,,2.355,,,0.96,0.96,179.461
BD+20 594 b,1,1,Transit,2016,Published Confirmed,41.6855,,2.578,22.2481,0,1.08,1.67,179.461
BD+45 564 b,1,1,Radial Velocity,2021,Published Confirmed,307.88,0.83,,,0.12,,0.81,53.622
BD+48 738 b,1,1,Radial Velocity,2011,Published Confirmed,392.6,1,,,0.2,11,0.74,871.493
BD+48 740 b,1,1,Radial Velocity,2018,Published Confirmed,733,1.7,,,0.76,10.33,1.09,666.589
BD+49 828 b,1,1,Radial Velocity,2015,Published Confirmed,2590,4.2,,,0.35,7.6,1.52,442.042
BD+55 362 b,1,1,Radial Velocity,2021,Published Confirmed,265.59,0.78,,,0.27,,0.91,52.5697
BD+60 1417 b,1,1,Imaging,2021,Published Confirmed,,1662,14.684,4767.4261,,0.8,1,44.9543
BD+63 1405 b,1,1,Radial Velocity,2021,Published Confirmed,1198.48,2.06,,,0.88,,0.82,38.0473
BD-00 4475 b,1,1,Radial Velocity,2021,Published Confirmed,723.2,1.48,,,0.39,,0.81,42.6402
BD-06 1339 b,1,2,Radial Velocity,2013,Published Confirmed,3.8728,0.0428,,,0,,0.7,20.2695
BD-06 1339 c,1,2,Radial Velocity,2013,Published Confirmed,125.94,0.435,,,0.31,,0.7,20.2695
BD-08 2823 b,1,2,Radial Velocity,2009,Published Confirmed,5.6,0.06,,,0.15,0.71,0.5,41.3342
BD-08 2823 b,1,2,Radial Velocity,2009,Published Confirmed,5.6,0.056,,,0.15,,0.74,41.3342
BD-08 2823 c,1,2,Radial Velocity,2009,Published Confirmed,237.6,0.68,,,0.19,,0.74,41.3342
BD-10 3166 b,1,1,Radial Velocity,2000,Published Confirmed,3.48777,0.0452,,,0.019,,1.01,84.4069
BD-10 3166 b,1,1,Radial Velocity,2000,Published Confirmed,3.487,0.046,,,0.05,,1.1,84.4069
BD-10 3166 b,1,1,Radial Velocity,2000,Published Confirmed,3.48777,0.04,,,0.02,0.91,1.47,84.4069
BD-10 3166 b,1,1,Radial Velocity,2000,Published Confirmed,3.487905,0.045,,,0.022,0.97,1,84.4069
BD-11 4672 b,1,2,Radial Velocity,2014,Published Confirmed,1667,2.28,,,0.05,0.52,0.57,27.1665
BD-11 4672 b,1,2,Radial Velocity,2014,Published Confirmed,1634,2.36,,,0.05,0.64,0.65,27.1665
BD-11 4672 c,1,2,Radial Velocity,2020,Published Confirmed,74.2,0.3,,,0.4,0.64,0.65,27.1665
BD-13 2130 b,1,1,Radial Velocity,2007,Published Confirmed,714.29999,1.66,,,0.21,19.17,2.12,925.214
BD-13 2130 b,1,1,Radial Velocity,2007,Published Confirmed,714.3,2.1,,,0.21,,2.4,925.214
BD-17 63 b,1,1,Radial Velocity,2008,Published Confirmed,655.6,1.34,,,0.54,0.69,0.74,34.4603
BD-17 63 b,1,1,Radial Velocity,2008,Published Confirmed,655.59998,1.34,,,0.54,0.74,0.31,34.4603
CD Cet b,1,1,Radial Velocity,2020,Published Confirmed,2.2907,0.0185,,,,0.17,0.16,8.60715
CFBDSIR J145829+101343 b,1,1,Imaging,2011,Published Confirmed,10037.5,2.6,,3337.1,,,0.02,
CFHTWIR-Oph 98 b,1,1,Imaging,2021,Published Confirmed,8040000,200,20.849,2479.06157,,0.24,0.01,
CHXR 73 b,1,1,Imaging,2006,Published Confirmed,,210,,3994.486,,,0.35,190.374
CI Tau b,1,1,Radial Velocity,2019,Published Confirmed,8.9891,,,3686.828,0.25,,0.9,157.998
COCONUTS-2 b,1,1,Imaging,2021,Published Confirmed,402000000,7506,12.442,2002.31896,,0.39,0.37,10.8864
CT Cha b,1,1,Imaging,2007,Published Confirmed,,440,24.66,5403,,,,190.72
CoRoT-1 b,1,1,Transit,2008,Published Confirmed,1.5089682,0.02752,19.223,390.9309,0.036,1.23,1.22,787.909
CoRoT-1 b,1,1,Transit,2008,Published Confirmed,1.5089557,0.0261,16.589,359.1479,0,1.14,1.03,787.909
CoRoT-1 b,1,1,Transit,2008,TESS Project Candidate,1.5089635,,20.594,,,1.29,,787.909
CoRoT-1 b,1,1,Transit,2008,Published Confirmed,1.50897655,0.0259,15.917,340.0781,0.071,,,787.909
CoRoT-1 b,1,1,Transit,2008,Published Confirmed,1.5089686,0.02536,17.385,327.3649,,1.13,0.95,787.909
CoRoT-1 b,1,1,Transit,2008,Published Confirmed,1.5089557,,16.7,327.35,0,1.11,0.95,787.909
CoRoT-10 b,1,1,Transit,2010,Published Confirmed,13.2406,0.1055,10.873,867.6759,0.524,0.79,0.89,338.386
CoRoT-10 b,1,1,Transit,2010,Published Confirmed,13.2406,0.1055,10.87,874,0.53,0.79,0.89,338.386
CoRoT-10 b,1,1,Transit,2010,Published Confirmed,13.2406,0.106,10.548,883.5674,,0.74,0.9,338.386
CoRoT-11 b,1,1,Transit,2010,Published Confirmed,2.99433,0.044,15.984,743.7222,,1.37,1.26,655.037
CoRoT-11 b,1,1,Transit,2010,Published Confirmed,,,,,,1.36,1.56,655.037
CoRoT-11 b,1,1,Transit,2010,Published Confirmed,2.99433,0.0436,16.03,740.51,0,1.37,1.27,655.037
CoRoT-11 b,1,1,Transit,2010,Published Confirmed,2.994325,0.04407,16.029,832.7146,0.36,1.37,1.27,655.037
CoRoT-11 b,1,1,Transit,2010,Published Confirmed,2.994325,0.04351,15.581,791.3967,0,1.33,1.23,655.037
CoRoT-12 b,1,1,Transit,2010,Published Confirmed,2.82805268,0.0392,15.065,277.46559,,1.05,1,1126.37
CoRoT-12 b,1,1,Transit,2010,Published Confirmed,2.828042,0.04016,16.14,291.438,0.07,1.12,1.08,1126.37
CoRoT-12 b,1,1,Transit,2010,Published Confirmed,2.828041,,,,,1.12,1.08,1126.37
CoRoT-12 b,1,1,Transit,2010,Published Confirmed,2.828042,0.0394,15.132,281.91521,,1.05,1.02,1126.37
CoRoT-12 b,1,1,Transit,2010,Published Confirmed,2.828042,0.04013,16.141,290.81445,0.05,1.12,1.08,1126.37
CoRoT-12 b,1,1,Transit,2010,TESS Project Candidate,2.82803915,,17.76,,,1.04,,1126.37
CoRoT-13 b,1,1,Transit,2010,Published Confirmed,4.03519,0.051,9.92,415.704,0,1.01,1.09,1148.93
CoRoT-13 b,1,1,Transit,2010,Published Confirmed,4.03515,,,,,1.01,1.09,1148.93
CoRoT-13 b,1,1,Transit,2010,Published Confirmed,4.03519,0.05107,9.92,423.03173,0.067,1.01,1.09,1148.93
CoRoT-13 b,1,1,Transit,2010,TESS Project Candidate,4.03504444,,12.533,,,1.14,,1148.93
CoRoT-13 b,1,1,Transit,2010,Published Confirmed,4.03519,0.051,14.034,416.99296,,1.27,1.09,1148.93
CoRoT-14 b,1,1,Transit,2010,Published Confirmed,1.51214,0.02687,11.411,2437.7561,,1.19,1.12,1744.6
CoRoT-14 b,1,1,Transit,2010,Published Confirmed,1.51214,0.02691,12.218,2358.2986,0.036,1.21,1.13,1744.6
CoRoT-14 b,1,1,Transit,2010,Published Confirmed,1.51214,0.027,12.22,2415.4,0,1.21,1.13,1744.6
CoRoT-16 b,1,1,Transit,2011,Published Confirmed,5.35227,0.0618,13.11,170.032,0.33,1.19,1.1,732.409
CoRoT-16 b,1,1,Transit,2011,Published Confirmed,5.35227,0.0618,13.115,168.13207,0.37,1.19,1.1,732.409
CoRoT-17 b,1,1,Transit,2011,Published Confirmed,3.7681,0.0461,11.43,772.29,0,1.59,1.04,1176.12
CoRoT-17 b,1,1,Transit,2011,Published Confirmed,3.7681,0.0481,11.433,765.9703,0.081,1.59,1.04,1176.12
CoRoT-17 b,1,1,Transit,2011,Published Confirmed,3.7681,0.0481,11.287,781.8618,,1.62,1.04,1176.12
CoRoT-18 b,1,1,Transit,2011,Published Confirmed,1.9000693,0.0295,14.684,1099.6918,0.025,1,0.95,764.889
CoRoT-18 b,1,1,Transit,2011,TESS Project Candidate,1.90008625,,15.05,,,0.93,,764.889
CoRoT-18 b,1,1,Transit,2011,Published Confirmed,1.9000693,0.0295,14.68,1102.82,0.08,1,0.95,764.889
CoRoT-18 b,1,1,Transit,2011,Published Confirmed,1.9000769,,,,,1,0.95,764.889
CoRoT-18 b,1,1,Transit,2011,Published Confirmed,1.90009,0.0288,12.846,1048.839,,0.88,0.88,764.889
CoRoT-18 b,1,1,Transit,2011,Published Confirmed,1.9000693,0.0286,14.022,1039.3041,,0.92,0.86,764.889
CoRoT-19 b,1,1,Transit,2011,Published Confirmed,3.89713,0.0518,14.46,352.78,0.047,1.65,1.21,790.663
CoRoT-19 b,1,1,Transit,2011,Published Confirmed,3.89713,0.05166,14.46,367.09365,0.056,1.65,1.21,790.663
CoRoT-19 b,1,1,Transit,2011,Published Confirmed,3.897131,,,,,1.65,1.21,790.663
CoRoT-19 b,1,1,Transit,2011,Published Confirmed,3.89713,0.0512,13.339,346.4347,,1.58,1.18,790.663
CoRoT-19 b,1,1,Transit,2011,TESS Project Candidate,3.89712026,,13.493,,,1.64,,790.663
CoRoT-2 b,2,1,Transit,2008,Published Confirmed,1.74299609,,16.533,,,,,213.283
CoRoT-2 b,2,1,Transit,2008,Published Confirmed,1.742997,,,,,,,213.283
